-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     650.314ms         4.51%     650.314ms      93.719us           0 b           0 b           0 b           0 b          6939  
                                              aten::add         0.88%     248.212ms         1.43%     402.188ms      51.922us     640.737ms         4.44%     640.737ms      82.718us           0 b           0 b     147.25 Gb     147.25 Gb          7746  
                                              aten::sub         0.82%     230.405ms         1.44%     406.494ms      51.717us     629.486ms         4.36%     629.486ms      80.087us           0 b           0 b     158.10 Gb     158.10 Gb          7860  
    volta_scudnn_128x128_stridedB_splitK_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     493.426ms         3.42%     493.426ms       2.056ms           0 b           0 b           0 b           0 b           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     440.839ms         3.06%     440.839ms      27.035us           0 b           0 b           0 b           0 b         16306  
                                              aten::sum         2.11%     595.390ms         2.96%     833.929ms      84.065us     421.858ms         2.92%     421.858ms      42.526us           0 b           0 b       4.28 Gb       4.28 Gb          9920  
                 aten::cudnn_convolution_backward_input         0.17%      48.288ms         0.31%      88.640ms     164.148us     411.452ms         2.85%     411.452ms     761.948us           0 b           0 b       9.47 Gb       9.46 Gb           540  
                                  volta_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     364.476ms         2.53%     364.476ms     455.595us           0 b           0 b           0 b           0 b           800  
                                aten::cudnn_convolution         0.38%     106.323ms         0.47%     133.606ms     247.419us     323.937ms         2.25%     323.937ms     599.883us           0 b           0 b      13.88 Gb      13.85 Gb           540  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     315.693ms         2.19%     315.693ms       1.578ms           0 b           0 b           0 b           0 b           200  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     309.938ms         2.15%     309.938ms     619.876us           0 b           0 b           0 b           0 b           500  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     304.814ms         2.11%     304.814ms     101.200us           0 b           0 b           0 b           0 b          3012  
     volta_scudnn_128x64_stridedB_splitK_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     301.367ms         2.09%     301.367ms       1.256ms           0 b           0 b           0 b           0 b           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     296.985ms         2.06%     296.985ms      87.865us           0 b           0 b           0 b           0 b          3380  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     280.235ms         1.94%     280.235ms      21.459us           0 b           0 b           0 b           0 b         13059  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     274.567ms         1.90%     274.567ms      80.283us           0 b           0 b           0 b           0 b          3420  
            volta_scudnn_128x64_stridedB_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     274.240ms         1.90%     274.240ms     571.333us           0 b           0 b           0 b           0 b           480  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     265.445ms         1.84%     265.445ms      51.845us           0 b           0 b           0 b           0 b          5120  
                                  volta_sgemm_128x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     263.396ms         1.83%     263.396ms       1.097ms           0 b           0 b           0 b           0 b           240  
                                              aten::abs         0.88%     249.259ms         1.97%     556.858ms     107.918us     260.949ms         1.81%     521.898ms     101.143us           0 b           0 b     174.99 Gb           0 b          5160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     260.949ms         1.81%     260.949ms     101.221us           0 b           0 b           0 b           0 b          2578  
                                            aten::fill_         0.46%     128.538ms         2.98%     840.693ms      65.170us     234.959ms         1.63%     234.959ms      18.214us           0 b           0 b           0 b           0 b         12900  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     234.831ms         1.63%     234.831ms      18.789us           0 b           0 b           0 b           0 b         12498  
                                             aten::add_         0.69%     193.597ms         1.48%     418.277ms      31.592us     234.192ms         1.62%     234.192ms      17.688us           0 b           0 b           0 b           0 b         13240  
                       aten::_conv_depthwise2d_backward         0.04%      11.424ms         0.11%      29.857ms     114.835us     230.600ms         1.60%     230.600ms     886.923us           0 b           0 b       3.37 Gb           0 b           260  
                                             aten::mean         0.58%     163.851ms         0.79%     224.188ms      78.939us     193.948ms         1.34%     193.948ms      68.292us           0 b           0 b      18.61 Mb      18.61 Mb          2840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     187.460ms         1.30%     187.460ms      38.328us           0 b           0 b           0 b           0 b          4891  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     170.750ms         1.18%     170.750ms     139.959us           0 b           0 b           0 b           0 b          1220  
                                    aten::_masked_scale         0.12%      33.364ms         0.42%     118.411ms      81.103us     170.215ms         1.18%     170.215ms     116.586us           0 b           0 b      39.73 Gb           0 b          1460  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     161.373ms         1.12%     161.373ms     620.665us           0 b           0 b           0 b           0 b           260  
                                   aten::_fused_dropout         0.51%     143.170ms         1.25%     352.453ms     238.144us     160.717ms         1.11%     160.717ms     108.593us           0 b           0 b      49.75 Gb           0 b          1480  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     160.717ms         1.11%     160.717ms     108.593us           0 b           0 b           0 b           0 b          1480  
                                     aten::masked_fill_         0.07%      20.853ms         0.15%      41.130ms      82.260us     145.390ms         1.01%     145.390ms     290.780us           0 b           0 b           0 b           0 b           500  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     145.364ms         1.01%     145.364ms     302.842us           0 b           0 b           0 b           0 b           480  
                                         aten::_softmax         0.03%       8.395ms         0.05%      12.705ms      52.938us     130.369ms         0.90%     130.369ms     543.204us           0 b           0 b      23.06 Gb      23.06 Gb           240  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us     130.369ms         0.90%     130.369ms     543.204us           0 b           0 b           0 b           0 b           240  
                           aten::_softmax_backward_data         0.04%      10.611ms         0.09%      24.415ms     101.729us     118.853ms         0.82%     240.176ms       1.001ms           0 b           0 b      23.06 Gb     -13.54 Mb           240  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     118.853ms         0.82%     118.853ms     495.221us           0 b           0 b           0 b           0 b           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     115.527ms         0.80%     115.527ms      56.081us           0 b           0 b           0 b           0 b          2060  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     111.955ms         0.78%     111.955ms      74.637us           0 b           0 b           0 b           0 b          1500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     110.072ms         0.76%     110.072ms      15.983us           0 b           0 b           0 b           0 b          6887  
                                               aten::gt         0.46%     131.081ms         0.61%     173.104ms      67.095us     107.188ms         0.74%     107.188ms      41.546us           0 b           0 b      11.02 Gb      11.02 Gb          2580  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     107.155ms         0.74%     107.155ms      41.857us           0 b           0 b           0 b           0 b          2560  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      96.158ms         0.67%      96.158ms     343.421us           0 b           0 b           0 b           0 b           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      95.004ms         0.66%      95.004ms     190.008us           0 b           0 b           0 b           0 b           500  
                                          aten::sigmoid         0.07%      20.652ms         0.12%      32.475ms      41.635us      90.546ms         0.63%      90.546ms     116.085us           0 b           0 b      33.60 Gb      33.60 Gb           780  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      90.546ms         0.63%      90.546ms     116.085us           0 b           0 b           0 b           0 b           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      79.561ms         0.55%      79.561ms      59.374us           0 b           0 b           0 b           0 b          1340  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 6, 6, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      78.237ms         0.54%      78.237ms       3.912ms           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      75.211ms         0.52%      75.211ms      78.345us           0 b           0 b           0 b           0 b           960  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      69.227ms         0.48%      69.227ms     266.258us           0 b           0 b           0 b           0 b           260  
                                             aten::_cat         0.06%      16.639ms         0.12%      33.835ms      80.560us      50.086ms         0.35%      50.086ms     119.252us           0 b           0 b      10.32 Gb           0 b           420  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      48.605ms         0.34%      48.605ms     186.942us           0 b           0 b           0 b           0 b           260  
void cudnn::detail::wgrad_alg0_engine<float, 512, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us      43.878ms         0.30%      43.878ms       1.097ms           0 b           0 b           0 b           0 b            40  
                         volta_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      43.719ms         0.30%      43.719ms     728.650us           0 b           0 b           0 b           0 b            60  
                                aten::_conv_depthwise2d         0.09%      24.284ms         0.13%      35.985ms     138.404us      42.331ms         0.29%      42.331ms     162.812us           0 b           0 b       3.35 Gb           0 b           260  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      42.331ms         0.29%      42.331ms     162.812us           0 b           0 b           0 b           0 b           260  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      38.279ms         0.27%      38.279ms       1.914ms           0 b           0 b           0 b           0 b            20  
void cudnn::detail::wgrad_alg0_engine<float, 128, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us      30.528ms         0.21%      30.528ms       1.526ms           0 b           0 b           0 b           0 b            20  
                     MutualInformationRecursionFunction         0.12%      33.908ms         0.33%      92.553ms       2.314ms      29.231ms         0.20%      29.941ms     748.525us           0 b      -2.50 Kb     241.15 Mb    -246.98 Mb            40  
void cudnn::detail::dgrad_engine<float, 128, 6, 8, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      26.526ms         0.18%      26.526ms       1.263ms           0 b           0 b           0 b           0 b            21  
                                     aten::glu_backward         0.03%       7.239ms         0.06%      16.710ms      69.625us      24.153ms         0.17%      24.153ms     100.638us           0 b           0 b       6.58 Gb           0 b           240  
void at::native::glu_backward_kernel<float, OffsetCa...         0.00%       0.000us         0.00%       0.000us       0.000us      24.153ms         0.17%      24.153ms     100.638us           0 b           0 b           0 b           0 b           240  
void cudnn::detail::dgrad_engine<float, 128, 6, 7, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      23.405ms         0.16%      23.405ms       1.232ms           0 b           0 b           0 b           0 b            19  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.212ms         0.15%      22.212ms       3.843us           0 b           0 b           0 b           0 b          5780  
                                              aten::div         0.10%      28.399ms         0.14%      39.290ms      57.779us      21.884ms         0.15%      21.884ms      32.182us           0 b           0 b       6.91 Gb       6.91 Gb           680  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.894ms         0.14%      19.894ms      38.258us           0 b           0 b           0 b           0 b           520  
                                     aten::scatter_add_         0.02%       4.524ms         0.03%       7.074ms      50.529us      18.360ms         0.13%      18.360ms     131.143us           0 b           0 b           0 b           0 b           140  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      18.360ms         0.13%      18.360ms     131.143us           0 b           0 b           0 b           0 b           140  
                                              aten::exp         0.71%     200.415ms         1.07%     300.934ms      52.245us      16.557ms         0.11%      16.557ms       2.874us           0 b           0 b       1.68 Gb       1.68 Gb          5760  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.962ms         0.11%      15.962ms       1.503us           0 b           0 b           0 b           0 b         10620  
                        volta_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      15.728ms         0.11%      15.728ms      65.533us           0 b           0 b           0 b           0 b           240  
void k2::mutual_information_kernel<float, 32>(at::Ge...         0.00%       0.000us         0.00%       0.000us       0.000us      15.205ms         0.11%      15.205ms      21.177us           0 b           0 b           0 b           0 b           718  
                                              aten::glu         0.09%      25.315ms         0.23%      63.600ms     265.000us      14.839ms         0.10%      14.839ms      61.829us           0 b           0 b       3.30 Gb       3.30 Gb           240  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.839ms         0.10%      14.839ms      61.829us           0 b           0 b           0 b           0 b           240  
void k2::mutual_information_backward_kernel<float, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      14.026ms         0.10%      14.026ms      19.535us           0 b           0 b           0 b           0 b           718  
                                            aten::equal         0.23%      65.726ms         1.24%     348.747ms     726.556us      13.326ms         0.09%      21.480ms      44.750us           0 b           0 b           0 b    -240.00 Kb           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.326ms         0.09%      13.326ms      27.762us           0 b           0 b           0 b           0 b           480  
                                    aten::tanh_backward         0.00%     642.000us         0.00%     993.000us      49.650us      11.839ms         0.08%      11.839ms     591.950us           0 b           0 b       1.37 Gb       1.37 Gb            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.839ms         0.08%      11.839ms     591.950us           0 b           0 b           0 b           0 b            20  
                                              aten::pow         0.27%      75.101ms         0.37%     103.612ms      99.627us      11.585ms         0.08%      24.055ms      23.130us           0 b           0 b       7.14 Gb       7.14 Gb          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.438ms         0.07%       9.438ms      36.300us           0 b           0 b           0 b           0 b           260  
void scalePackedTensor_kernel<float, float>(cudnnTen...         0.00%       0.000us         0.00%       0.000us       0.000us       9.234ms         0.06%       9.234ms      17.100us           0 b           0 b           0 b           0 b           540  
                                              aten::all         0.18%      52.160ms         0.23%      65.251ms     130.502us       7.559ms         0.05%       7.559ms      15.118us           0 b           0 b     250.00 Kb     250.00 Kb           500  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.890ms         0.05%       6.890ms      13.780us           0 b           0 b           0 b           0 b           500  
                   volta_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us       6.603ms         0.05%       6.603ms     330.150us           0 b           0 b           0 b           0 b            20  
                volta_scudnn_128x32_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us       6.356ms         0.04%       6.356ms     317.800us           0 b           0 b           0 b           0 b            20  
                                             aten::exp_         0.00%     240.000us         0.00%     478.000us      23.900us       5.655ms         0.04%       5.655ms     282.750us           0 b           0 b           0 b           0 b            20  
                                           aten::gather         0.05%      12.794ms         0.06%      16.134ms     100.838us       5.229ms         0.04%       5.229ms      32.681us           0 b           0 b       1.56 Gb       1.56 Gb           160  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       5.122ms         0.04%       5.122ms      36.586us           0 b           0 b           0 b           0 b           140  
                                  volta_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us       3.966ms         0.03%       3.966ms      99.150us           0 b           0 b           0 b           0 b            40  
                                             aten::tanh         0.00%     804.000us         0.00%       1.210ms      60.500us       3.644ms         0.03%       3.644ms     182.200us           0 b           0 b       1.37 Gb       1.37 Gb            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.644ms         0.03%       3.644ms     182.200us           0 b           0 b           0 b           0 b            20  
                                        aten::clamp_min         0.94%     265.518ms         1.84%     518.418ms     123.433us       3.230ms         0.02%       6.460ms       1.538us           0 b           0 b     155.84 Mb           0 b          4200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.230ms         0.02%       3.230ms       1.538us           0 b           0 b           0 b           0 b          2100  
                                             aten::amax         0.01%       1.802ms         0.02%       4.402ms     110.050us       2.539ms         0.02%       5.078ms     126.950us           0 b           0 b       5.49 Mb           0 b            40  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.539ms         0.02%       2.539ms     126.950us           0 b           0 b           0 b           0 b            20  
                                       rnnt_loss_pruned         0.43%     122.602ms         1.53%     432.027ms      21.601ms       2.297ms         0.02%     100.623ms       5.031ms         -80 b     -12.89 Kb       5.03 Gb      -2.59 Gb            20  
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::Compu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         0.01%       2.011ms       1.972us           0 b           0 b           0 b           0 b          1020  
                                  volta_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.992ms         0.01%       1.992ms      99.600us           0 b           0 b           0 b           0 b            20  
                                              aten::neg         0.03%       9.071ms         0.05%      14.267ms      41.962us       1.947ms         0.01%       1.947ms       5.726us           0 b           0 b     602.59 Mb     602.59 Mb           340  
                                               aten::lt         0.21%      58.921ms         0.28%      79.356ms      60.118us       1.850ms         0.01%       1.850ms       1.402us           0 b           0 b       1.73 Mb       1.73 Mb          1320  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.715ms         0.01%       1.715ms       1.340us           0 b           0 b           0 b           0 b          1280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.684ms         0.01%       1.684ms       6.477us           0 b           0 b           0 b           0 b           260  
void k2::cub::DeviceScanKernel<k2::cub::DeviceScanPo...         0.00%       0.000us         0.00%       0.000us       0.000us       1.608ms         0.01%       1.608ms       2.513us           0 b           0 b           0 b           0 b           640  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.579ms         0.01%       1.579ms       6.073us           0 b           0 b           0 b           0 b           260  
                                           aten::addmv_         0.00%     831.000us         0.01%       1.669ms      41.725us       1.502ms         0.01%       1.502ms      37.550us           0 b           0 b           0 b           0 b            40  
                         aten::embedding_dense_backward         0.00%     887.000us         0.01%       4.032ms     201.600us       1.491ms         0.01%       1.964ms      98.200us           0 b           0 b      19.53 Mb     -68.28 Mb            20  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us       1.491ms         0.01%       1.491ms      74.550us           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.458ms         0.01%       1.458ms      18.225us           0 b           0 b           0 b           0 b            80  
                                              aten::max         0.04%      10.029ms         0.06%      15.568ms     155.680us       1.383ms         0.01%       1.383ms      13.830us           0 b           0 b       2.10 Mb           0 b           100  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.377ms         0.01%       1.377ms      11.475us           0 b           0 b           0 b           0 b           120  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000ms         0.01%       1.000ms      25.000us           0 b           0 b           0 b           0 b            40  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     997.000us         0.01%     997.000us       1.608us           0 b           0 b           0 b           0 b           620  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     987.000us         0.01%     987.000us       9.870us           0 b           0 b           0 b           0 b           100  
                                           aten::cumsum         0.00%       1.087ms         0.01%       1.477ms      73.850us     949.000us         0.01%     949.000us      47.450us           0 b           0 b      63.13 Mb      63.13 Mb            20  
void at::native::tensor_kernel_scan_outer_dim<float,...         0.00%       0.000us         0.00%       0.000us       0.000us     949.000us         0.01%     949.000us      47.450us           0 b           0 b           0 b           0 b            20  
                                        aten::remainder         0.01%       2.946ms         0.01%       3.644ms      91.100us     934.000us         0.01%     934.000us      23.350us           0 b           0 b     238.35 Mb     238.35 Mb            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     934.000us         0.01%     934.000us      23.350us           0 b           0 b           0 b           0 b            40  
void gemv2N_kernel<int, int, float, float, float, 12...         0.00%       0.000us         0.00%       0.000us       0.000us     889.000us         0.01%     889.000us      44.450us           0 b           0 b           0 b           0 b            20  
                              aten::_local_scalar_dense         0.02%       5.156ms         0.76%     213.047ms     266.309us     871.000us         0.01%     871.000us       1.089us           0 b           0 b           0 b           0 b           800  
                                             aten::mul_         0.00%       1.304ms         0.01%       2.512ms      31.400us     854.000us         0.01%     854.000us      10.675us           0 b           0 b           0 b           0 b            80  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     829.000us         0.01%     829.000us      10.363us           0 b           0 b           0 b           0 b            80  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     737.000us         0.01%     737.000us       7.370us           0 b           0 b           0 b           0 b           100  
void k2::cub::DeviceScanInitKernel<k2::cub::ScanTile...         0.00%       0.000us         0.00%       0.000us       0.000us     689.000us         0.00%     689.000us       1.077us           0 b           0 b           0 b           0 b           640  
                                         aten::scatter_         0.01%       3.348ms         0.02%       4.875ms      60.938us     660.000us         0.00%     660.000us       8.250us           0 b           0 b           0 b           0 b            80  
cudnn::gemm::computeWgradSplitKOffsetsKernel(cudnn::...         0.00%       0.000us         0.00%       0.000us       0.000us     657.000us         0.00%     657.000us       1.369us           0 b           0 b           0 b           0 b           480  
cudnn::gemm::computeWgradBOffsetsKernel(cudnn::gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us     653.000us         0.00%     653.000us       1.360us           0 b           0 b           0 b           0 b           480  
cudnn::gemm::computeBOffsetsKernel(cudnn::gemm::Comp...         0.00%       0.000us         0.00%       0.000us       0.000us     615.000us         0.00%     615.000us       1.281us           0 b           0 b           0 b           0 b           480  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     613.000us         0.00%     613.000us      30.650us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     568.000us         0.00%     568.000us       2.185us           0 b           0 b           0 b           0 b           260  
                                             aten::sub_         0.00%       1.056ms         0.01%       1.680ms      42.000us     464.000us         0.00%     464.000us      11.600us           0 b           0 b           0 b           0 b            40  
                               aten::threshold_backward         0.00%     860.000us         0.00%       1.279ms      63.950us     446.000us         0.00%     446.000us      22.300us           0 b           0 b      67.91 Mb      67.91 Mb            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     446.000us         0.00%     446.000us      22.300us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     445.000us         0.00%     445.000us       5.562us           0 b           0 b           0 b           0 b            80  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     434.000us         0.00%     434.000us       3.100us           0 b           0 b           0 b           0 b           140  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     430.000us         0.00%     430.000us      21.500us           0 b           0 b           0 b           0 b            20  
                                           aten::argmax         0.00%       1.273ms         0.01%       1.685ms      84.250us     410.000us         0.00%     410.000us      20.500us           0 b           0 b       1.10 Mb       1.10 Mb            20  
                                          aten::scatter         0.01%       1.935ms         0.02%       4.573ms     114.325us     405.000us         0.00%     942.000us      23.550us           0 b           0 b     120.16 Mb     120.16 Mb            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     345.000us         0.00%     345.000us       3.450us           0 b           0 b           0 b           0 b           100  
                                              aten::log         0.01%       2.300ms         0.01%       3.551ms      44.388us     279.000us         0.00%     279.000us       3.487us           0 b           0 b      62.09 Mb      62.09 Mb            80  
                                         aten::uniform_         0.01%       2.116ms         0.01%       2.611ms      10.042us     278.000us         0.00%     278.000us       1.069us           0 b           0 b           0 b           0 b           260  
_ZN2at6native89_GLOBAL__N__65_tmpxft_00008f3f_000000...         0.00%       0.000us         0.00%       0.000us       0.000us     278.000us         0.00%     278.000us      13.900us           0 b           0 b           0 b           0 b            20  
                                     aten::index_select         0.01%       1.532ms         0.01%       2.431ms     121.550us     255.000us         0.00%     255.000us      12.750us           0 b           0 b      67.91 Mb           0 b            20  
